Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude
"MULTILINESTRING ((-73.87822209399997 40.84255289500004, -73.87879286799995 40.84160163800004))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Bronx,Arthur & Dorothy Crier Place,Boston Road,Male/Female,"Arthur Crier was a former Bronx CPB youth coordinator and legendary doo-wop musician. His wife, Dorothy Crier, was also a longtime member of Bronx CPB, served on the Board of Directors for the Labor Sherman Day Care Center, and was one of the founders of",Between East 179th Street and East 180th Street,10460,Rivera,,"MULTILINESTRING ((-73.87822209399997 40.84255289500004, -73.87879286799995 40.84160163800004))",POINT (-73.87850748099996 40.84207726650004),40.84207726650004,-73.87850748099996
"MULTILINESTRING ((-73.99725054999993 40.71931050300003, -73.99655853999997 40.71908282000004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,The Order Sons of Italy Way,Grand Street,Group,"The Order of Sons of Italy is the largest and longest-established national organization  for men and women of Italian heritage in the United States. Founded, on Grand Street between Mott and Mulberry Street, in 1905 as a mutual aid society for early Ital",between Mott Street and Mulberry Street,10013,Gerson,,"MULTILINESTRING ((-73.99725054999993 40.71931050300003, -73.99655853999997 40.71908282000004))",POINT (-73.99690454499995 40.719196661500035),40.719196661500035,-73.99690454499995
"MULTILINESTRING ((-73.84227536299994 40.70260815300003, -73.84199641399994 40.70215877100003, -73.84197227399994 40.70206930100005, -73.84197227399994 40.70200219800006, -73.84197227399994 40.701912728000025, -73.84197227399994 40.70180292400005, -73.84197227399994 40.701721587000065, -73.84194624299994 40.70162510700004, -73.84175195099994 40.70125270900007))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Korean War Veterans Memorial Drive,Memorial Drive,Group,"From 1950 to 1953, millions of brave Americans fought to, “defend a country they never knew and a people they never met.” Tens of thousands of United States veterans died on the battlefield and more than 100,000 were injured in battle. Thousands are",The extension of 108th Street between Forest Park Drive and the intersection of Park Lane South and Myrtle Avenue,11418,Gallagher,,"MULTILINESTRING ((-73.84227536299994 40.70260815300003, -73.84199641399994 40.70215877100003, -73.84197227399994 40.70206930100005, -73.84197227399994 40.70200219800006, -73.84197227399994 40.701912728000025, -73.84197227399994 40.70180292400005, -73.84197227399994 40.701721587000065, -73.84194624299994 40.70162510700004, -73.84175195099994 40.70125270900007))",POINT (-73.84199551911487 40.70193870284122),40.70193870284122,-73.84199551911487
"MULTILINESTRING ((-73.94924093699996 40.79688983900007, -73.95206262099998 40.79299113700006))",Int. No. 590-A,07/11/2011,2011,2011/047,Street,Manhattan,Museum Mile,5th Avenue,Group,"This section of 5th Avenue is noted for the number of museums located on it.  The attractions include the Metropolitan Museum of Art, the Museum of the City of New York, the International School of Photography, the Jewish Museum, the Museum for African A",Between East 104th Street and 110th Street,10029,Mark-Viverito,,"MULTILINESTRING ((-73.94924093699996 40.79688983900007, -73.95206262099998 40.79299113700006))",POINT (-73.95065177899997 40.794940488000066),40.794940488000066,-73.95065177899997
"MULTILINESTRING ((-74.00898890299999 40.73043719000003, -74.00830225699997 40.73036808300003))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Manhattan,Pat La Frieda Lane,Leroy Street,Group,"The Pat LaFredia Meat Company was founded in 1912 and has been located on Leroy Street, between Washington Street and Greenwich Street, through four generations and more than 90 years. The company is a premier purveyor of meats and was the first in the i",Between Washington Street and Greenwhich Street,10014,Quinn,,"MULTILINESTRING ((-74.00898890299999 40.73043719000003, -74.00830225699997 40.73036808300003))",POINT (-74.00864557999998 40.73040263650003),40.73040263650003,-74.00864557999998
"MULTILINESTRING ((-73.85963663199993 40.70844853700004, -73.86154904699998 40.70745835300005, -73.86218741299996 40.707389223000064))",Int. No. 437-A,06/03/2003,2003,2003/034,Street,Queens,Vietnam Veterans of America Lane,76th Avenue,Group,"This sign is being placed to recognize the bravery displayed and the sacrifices made by our veterans from Vietnam, from which more than 50,000 Americans never came home.  United States Senator John Kerry, a Vietnam Veteran, spoke on Veteran’s Day in Wa",between Woodhaven Boulevard and 88th Street,11385,Gallagher,,"MULTILINESTRING ((-73.85963663199993 40.70844853700004, -73.86154904699998 40.70745835300005, -73.86218741299996 40.707389223000064))",POINT (-73.86088576789291 40.70783179474953),40.70783179474953,-73.86088576789291
"MULTILINESTRING ((-73.98434858999997 40.69208706400008, -73.98443799699999 40.69035160300007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Brooklyn,Abolitionist Place,Duffield Street,Group,Abolitionism as a movement was critically influential on American History. Abolitionists risked their lives to fight the abomination of chattel slavery. Many abolitionists and Underground Railroad conductors lived and owned property along this segment of,Between Fulton Street and Willoughby Street,11201,James,,"MULTILINESTRING ((-73.98434858999997 40.69208706400008, -73.98443799699999 40.69035160300007))",POINT (-73.98439329349998 40.69121933350007),40.69121933350007,-73.98439329349998
"MULTILINESTRING ((-73.88853508699998 40.87288593200003, -73.88808983999996 40.87388176400003, -73.88764893799998 40.874867866000045))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Bronx,St. Philip Neri Way,Villa Avenue,Group,"The Church of St. Philip Neri was founded in 1898 in the Bedford Park area of the Bronx.  In 1913, St. Philip Neri parish opened St. Philip Neri Roman Catholic School to serve the children of Bedford Park.  This co-naming will celebrate the 115th and 100",Between Bedford Park Boulevard and East 204th Street,10468,Koppell,,"MULTILINESTRING ((-73.88853508699998 40.87288593200003, -73.88808983999996 40.87388176400003, -73.88764893799998 40.874867866000045))",POINT (-73.8880920136276 40.87387689950421),40.87387689950421,-73.8880920136276
"MULTILINESTRING ((-74.13304496599994 40.56284066200004, -74.13131494099997 40.56174031900008))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Staten Island,Dominick and Theresa DiMartinis Avenue,Fairbanks Avenue,Male/Female,"Knows as the Mayor and his Tiger, this loving couple opened their home to all their neighbors and friends.  Ever ready to dispense advice from their vast knowledge of Staten Island, the couple was admired as model parents, community activists and devoted",Between Amboy Road and N. Railroad Avenue,10306,Lanza,,"MULTILINESTRING ((-74.13304496599994 40.56284066200004, -74.13131494099997 40.56174031900008))",POINT (-74.13217995349996 40.56229049050006),40.56229049050006,-74.13217995349996
"MULTILINESTRING ((-73.94166377999994 40.807049447000054, -73.94026903199995 40.806472866000036))",Int. No.  1631,08/23/2019,2019,2019/158,Street,Manhattan,Art Kane: Harlem 1958 Place,East 126th Street,Group,"Section 56. Art Kane: Harlem 1958 Place 

Introduced by Council Member Perkins 

This co-naming would commemorate the 60th Anniversary of Harlem 1958, a black-and-white photograph of 57 jazz musicians who gathered on August 12, 1958 at 17 West 126th Stre",Between Madison Avenue and Fifth Avenue,10035,Perkins,,"MULTILINESTRING ((-73.94166377999994 40.807049447000054, -73.94026903199995 40.806472866000036))",POINT (-73.94096640599994 40.806761156500045),40.806761156500045,-73.94096640599994
"MULTILINESTRING ((-73.96249482099995 40.712517416000026, -73.96109169099998 40.71200024600006))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,El Regreso Way,South 3rd Street,Group,"Carlos Pagan founded El Regreso, a bilingual, bicultural treatment program, licensed and funded by the New York State Office of Alcoholism and Substance Abuse Services and the United States Department of Housing and Urban Development, in 1985.  El Regres",Between Driggs Avenue and Bedford Avenue,11211,Reyna,,"MULTILINESTRING ((-73.96249482099995 40.712517416000026, -73.96109169099998 40.71200024600006))",POINT (-73.96179325599996 40.71225883100004),40.71225883100004,-73.96179325599996
"MULTILINESTRING ((-73.97572885099999 40.73681652800008, -73.97622237799999 40.736117396000054))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Manhattan,Jewish War Veterans of the U.S.A. Place,Asser Levy Place,Group,"The Jewish War Veterans represent the oldest active veterans service organization in the United States, founded in 1896 by Jewish War Veterans of the Civil War.",East 23rd to East 24th Street,10010,Garodnick,,"MULTILINESTRING ((-73.97572885099999 40.73681652800008, -73.97622237799999 40.736117396000054))",POINT (-73.97597561449999 40.736466962000065),40.736466962000065,-73.97597561449999
"MULTILINESTRING ((-73.75082159099998 40.782506116000036, -73.75060701499996 40.782487838000065, -73.75052386599998 40.78244924900008, -73.75043937599997 40.78237308900003, -73.75036159199993 40.78228575700007, -73.75029855999998 40.78217710100006, -73.75021809399993 40.78202376300004, -73.75016654599995 40.78191564100007, -73.75012019399998 40.78180238700003, -73.74997331899993 40.78149431800006, -73.74986978499999 40.78131584100004, -73.74959910299998 40.78084419100003, -73.74957772799996 40.78081237500004, -73.74954980699994 40.78076424300008, -73.74950980599993 40.78069454100006, -73.74945490599998 40.780579389000025, -73.74929317199997 40.78024014600004, -73.74923297099997 40.78012542300007, -73.74913582299996 40.77986379200007, -73.74903611999997 40.77962017600004, -73.74900732499998 40.779517733000034, -73.74896493099999 40.779446233000044, -73.74892789099994 40.779391099000065, -73.74879186099997 40.77918861900008, -73.74866900299997 40.779050675000065, -73.74852293799995 40.77894372700007, -73.74838346299998 40.778850298000066, -73.74820509599994 40.77875788500006, -73.74807232699999 40.77871726300003, -73.74795399699997 40.77870718300005, -73.74781712599997 40.77869552300007, -73.74764656899998 40.77864334000003, -73.74753186199996 40.778598446000046, -73.74724620699999 40.77839635400005, -73.74713001399994 40.778291608000075, -73.74703443099997 40.778221622000046, -73.74697253799997 40.778184502000045, -73.74686375799996 40.778141927000036, -73.74672937699995 40.77810081200005, -73.74629991999996 40.77792124800004, -73.74622822999999 40.77785662100007, -73.74613845399995 40.77776570000003, -73.74609452199996 40.777647383000044, -73.74606990099994 40.77755978500005, -73.74606201099994 40.77743869300008, -73.74606201099994 40.77725690800003, -73.74606201099994 40.777072076000024, -73.74605466199995 40.776959273000045, -73.74603084199998 40.77687452600003, -73.74600997799996 40.776800295000044, -73.74596655899995 40.776709218000065, -73.74593756799999 40.77663113600005, -73.74591583099993 40.77652367200005, -73.74591583099993 40.77645867500007, -73.74591583099993 40.776378445000034, -73.74592790099996 40.776283997000064, -73.74590554599996 40.77594088700005, -73.74587777599999 40.77586609400004, -73.74584483099994 40.775796987000035, -73.74578842699998 40.77572453600004, -73.74570747599995 40.77567598400003, -73.74550511399997 40.77555034300008, -73.74529148999994 40.77541770900007, -73.74524835699998 40.77537882300004, -73.74519818799996 40.77530414300003, -73.74519301999999 40.77522481600005, -73.74521979799994 40.77507760800006, -73.74527578199996 40.77476984700007, -73.74528685299998 40.77457285700007, -73.74526137199996 40.774308801000075, -73.74524795999997 40.774169810000046, -73.74525687799996 40.77401112700005, -73.74531501699994 40.773881231000075, -73.74562078799994 40.77342725200003, -73.74568516099998 40.77331553500005, -73.74568516099998 40.773140848000025, -73.74568516099998 40.77274272400007))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Douglas Road and Marinette Street,Douglas Road,Male/Female,"Sometime in the 1920’s streets throughout the area of Douglaston, Queens and Little Neck, Queens were given numerical designations in order to come “in line” with the New York City street grid.  In 1970-1971, a movement to re-instate the named stre",between West Drive and Hillside Avenue (also known as 38th Road),11363,Avella,,"MULTILINESTRING ((-73.75082159099998 40.782506116000036, -73.75060701499996 40.782487838000065, -73.75052386599998 40.78244924900008, -73.75043937599997 40.78237308900003, -73.75036159199993 40.78228575700007, -73.75029855999998 40.78217710100006, -73.75021809399993 40.78202376300004, -73.75016654599995 40.78191564100007, -73.75012019399998 40.78180238700003, -73.74997331899993 40.78149431800006, -73.74986978499999 40.78131584100004, -73.74959910299998 40.78084419100003, -73.74957772799996 40.78081237500004, -73.74954980699994 40.78076424300008, -73.74950980599993 40.78069454100006, -73.74945490599998 40.780579389000025, -73.74929317199997 40.78024014600004, -73.74923297099997 40.78012542300007, -73.74913582299996 40.77986379200007, -73.74903611999997 40.77962017600004, -73.74900732499998 40.779517733000034, -73.74896493099999 40.779446233000044, -73.74892789099994 40.779391099000065, -73.74879186099997 40.77918861900008, -73.74866900299997 40.779050675000065, -73.74852293799995 40.77894372700007, -73.74838346299998 40.778850298000066, -73.74820509599994 40.77875788500006, -73.74807232699999 40.77871726300003, -73.74795399699997 40.77870718300005, -73.74781712599997 40.77869552300007, -73.74764656899998 40.77864334000003, -73.74753186199996 40.778598446000046, -73.74724620699999 40.77839635400005, -73.74713001399994 40.778291608000075, -73.74703443099997 40.778221622000046, -73.74697253799997 40.778184502000045, -73.74686375799996 40.778141927000036, -73.74672937699995 40.77810081200005, -73.74629991999996 40.77792124800004, -73.74622822999999 40.77785662100007, -73.74613845399995 40.77776570000003, -73.74609452199996 40.777647383000044, -73.74606990099994 40.77755978500005, -73.74606201099994 40.77743869300008, -73.74606201099994 40.77725690800003, -73.74606201099994 40.777072076000024, -73.74605466199995 40.776959273000045, -73.74603084199998 40.77687452600003, -73.74600997799996 40.776800295000044, -73.74596655899995 40.776709218000065, -73.74593756799999 40.77663113600005, -73.74591583099993 40.77652367200005, -73.74591583099993 40.77645867500007, -73.74591583099993 40.776378445000034, -73.74592790099996 40.776283997000064, -73.74590554599996 40.77594088700005, -73.74587777599999 40.77586609400004, -73.74584483099994 40.775796987000035, -73.74578842699998 40.77572453600004, -73.74570747599995 40.77567598400003, -73.74550511399997 40.77555034300008, -73.74529148999994 40.77541770900007, -73.74524835699998 40.77537882300004, -73.74519818799996 40.77530414300003, -73.74519301999999 40.77522481600005, -73.74521979799994 40.77507760800006, -73.74527578199996 40.77476984700007, -73.74528685299998 40.77457285700007, -73.74526137199996 40.774308801000075, -73.74524795999997 40.774169810000046, -73.74525687799996 40.77401112700005, -73.74531501699994 40.773881231000075, -73.74562078799994 40.77342725200003, -73.74568516099998 40.77331553500005, -73.74568516099998 40.773140848000025, -73.74568516099998 40.77274272400007))",POINT (-73.74737823008483 40.77785346958103),40.77785346958103,-73.74737823008483
