Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_male_named_streets,pct_male_pop
"MULTILINESTRING ((-73.76719236999998 40.66628148800004, -73.76021057999998 40.66457044900005))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,PFC Le Ron A. Wilson Way,145th Avenue,Male,"Le Ron A. Wilson became a resident of Springfield Gardens when he immigrated to the United States at the age of eleven.  After graduating Thomas Edison High School, he enlisted in the United States Army and was assigned to Fort Stewart, Georgia.  He was",Between Farmers Boulevard and Arthur Street,11413,"Sanders, Jr.",,"MULTILINESTRING ((-73.76719236999998 40.66628148800004, -73.76021057999998 40.66457044900005))",POINT (-73.76370147499996 40.665425968500045),40.665425968500045,-73.76370147499996,63.1%,49%
"MULTILINESTRING ((-74.07795377699995 40.63801663900006, -74.07785051199994 40.63756478700003, -74.07692112699993 40.635749204000035))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Staten Island,Bishop C. Asapansa-Johnson Way,Van Duzer Street,Male,Bishop C. Asapansa-Johnson was the pastor of Bethel Community Church and former president of the Interdenominational Ministers Meeting of Greater New York.  He was former pastor of the Allen Memorial Church (African Methodist Episcopal) in Brooklyn.  He,Between Hannah Street and Victory Boulevard,10301,Rose,,"MULTILINESTRING ((-74.07795377699995 40.63801663900006, -74.07785051199994 40.63756478700003, -74.07692112699993 40.635749204000035))",POINT (-74.07748142668153 40.636866924391505),40.636866924391505,-74.07748142668153,67.5%,49%
"MULTILINESTRING ((-73.74323290499996 40.65399802200005, -73.74107700499997 40.65399802200005))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Wendell S. G. O’Brien Way,148th Road,Male,"Wendell Solomon Gabriel O’Brien was born in Port of Spain, Trinidad and Tobago, West Indies, where he spent his formative years. In 1999, he relocated his family, from Starrett City, Brooklyn to their new home in Rosedale. He was later greeted by the l",Between 241st Street and Edgewood Street,11422,Brooks-Powers,,"MULTILINESTRING ((-73.74323290499996 40.65399802200005, -73.74107700499997 40.65399802200005))",POINT (-73.74215495499996 40.65399802200005),40.65399802200005,-73.74215495499996,63.1%,49%
"MULTILINESTRING ((-73.77744805799995 40.69303407800004, -73.77630066799998 40.69367129700004))",Int. No. 998,12/18/2001,2001,2001/068,Street,Queens,Milt Hinton Place,113th Avenue,Male,"The following biographical information was provided by the Hinton family and the New York Times. 

Milton “Milt” Hinton was born on June 23, 1910 in Vicksburg, Mississippi. Mr. Hintons’s parents separated when he was an infant and his mother moved",between Marne Place and 175th Street,11433,Spigner,,"MULTILINESTRING ((-73.77744805799995 40.69303407800004, -73.77630066799998 40.69367129700004))",POINT (-73.77687436299996 40.69335268750004),40.69335268750004,-73.77687436299996,63.1%,49%
"MULTILINESTRING ((-73.77768768599998 40.75496829400004, -73.77722098199996 40.75445627900007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Queens,PFC Alberto Colon Street,204th Street,Male,"PFC Alberto Colon was a United States Marine killed in action in Vietnam on February 20, 1968. At the time of his death he had just turned 19 years of age. Following his death he was awarded the Purple Heart for making the ultimate sacrifice for his coun",Between 46th Road and 47th Avenue,11361,Avella,,"MULTILINESTRING ((-73.77768768599998 40.75496829400004, -73.77722098199996 40.75445627900007))",POINT (-73.77745433399997 40.75471228650005),40.75471228650005,-73.77745433399997,63.1%,49%
"MULTILINESTRING ((-73.91697371099997 40.654635633000055, -73.91683289499997 40.65448810600003))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Lenny Kobren Circle,East 94th Street,Male,"Leonard Kobren spent his whole life in East Flatbush and was a community advocate for over 40 years.  He served as the treasurer of the East Church Avenue Merchants Association, Chairperson of the Commerce Committee and served as First Vice-Chairperson o",Between Linden Boulevard and Church Avenue,11212,Barron,,"MULTILINESTRING ((-73.91697371099997 40.654635633000055, -73.91683289499997 40.65448810600003))",POINT (-73.91690330299997 40.65456186950004),40.65456186950004,-73.91690330299997,66.3%,48%
"MULTILINESTRING ((-73.96686770499997 40.69325440700004, -73.96659143799997 40.691863355000066))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Police Officer Christie Masone Way,Washington Avenue,Male,"Police Officer Christie Masone was assigned to the 79th Precinct.  He and his partner Officer Norman Cerullo were killed in the line of duty after stopping two suspicious men in front of 660 Willoughby Street, Brooklyn.  The suspect who was arrested was",Between Myrtle Avenue and Willoughby Avenue,11205,Cumbo,why not the other partner?,"MULTILINESTRING ((-73.96686770499997 40.69325440700004, -73.96659143799997 40.691863355000066))",POINT (-73.96672957149997 40.69255888100005),40.69255888100005,-73.96672957149997,66.3%,48%
"MULTILINESTRING ((-73.89473916599997 40.70419754400007, -73.89398814699996 40.70438732300005))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Joseph W. Norden Way,Catalpa Avenue,Male,Joseph W. Norden served with the NYPD for five years and was assigned to the 104th Precinct. He was killed in the line of duty when he was shot by an emotionally disturbed suspect whom he and his partner were escorting from an apartment.,Between 62nd Street and 64th Street,11385,Holden,,"MULTILINESTRING ((-73.89473916599997 40.70419754400007, -73.89398814699996 40.70438732300005))",POINT (-73.89436365649996 40.70429243350006),40.70429243350006,-73.89436365649996,63.1%,49%
"MULTILINESTRING ((-73.90850077999994 40.71747771200006, -73.90773366899998 40.717390296000076))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Corporal Robert Marcus Rodriguez Way,59th Drive,Male,"Corporal Robert Marcus Rodriguez was born on February 15, 1982 in Brooklyn, New York. Corporal Rodriguez lived on 59th Drive in Maspeth and attended John Adams High School in Queens and received his high school diploma from the New York Youth Challenge P",between 59th Street and 59th Place,11378,Katz,,"MULTILINESTRING ((-73.90850077999994 40.71747771200006, -73.90773366899998 40.717390296000076))",POINT (-73.90811722449996 40.71743400400006),40.71743400400006,-73.90811722449996,63.1%,49%
"MULTILINESTRING ((-73.90454359999995 40.641030251000075, -73.90281625699998 40.639528202000065))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,John F. Denton Way,East 92nd Street,Male,"John F. Denton was a long time resident of Canarsie and a historian of Canarsie.  His column, entitled “Little Old Canarsie”, ran in the “Canarsie Courier” for many years.  He devoted the majority of his life to recording and documenting the hist",Between Flatlands Avenue and Avenue J,11236,Fidler,,"MULTILINESTRING ((-73.90454359999995 40.641030251000075, -73.90281625699998 40.639528202000065))",POINT (-73.90367992849997 40.64027922650007),40.64027922650007,-73.90367992849997,66.3%,48%
"MULTILINESTRING ((-74.08975910699996 40.58899836100005, -74.08826700399999 40.58822284100006))",Int. No. 825,10/10/2008,2008,2008/048,Street,Staten Island,Rab Wilkinson Way,Deleware Avenue,Male,"Harry (“Rab”) Wilkinson was a lifelong Staten Islander who attended Port Richmond and Tottenville High Schools.  After serving with the United States Army, he established Rab’s Trophy World.  Later on, he became dedicated to contributing to the Sta",Between Hylan Boulevard and Laconia Avenue,10305,Oddo,,"MULTILINESTRING ((-74.08975910699996 40.58899836100005, -74.08826700399999 40.58822284100006))",POINT (-74.08901305549998 40.588610601000056),40.588610601000056,-74.08901305549998,67.5%,49%
"MULTILINESTRING ((-73.82919049599997 40.74631236100004, -73.82928705599994 40.74567564600005))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Queens,Don Capalbi Way,136th Street,Male,"Don Capalbi was the former president of the Queensboro Hill Flushing Civic Association, and was known for his activism, including his successful campaign for traffic control near PS 163 and his condemnation of the 2015 Main Street redesign. He also worke",Between 57th Road and 58th Avenue,11355,Ung,,"MULTILINESTRING ((-73.82919049599997 40.74631236100004, -73.82928705599994 40.74567564600005))",POINT (-73.82923877599995 40.745994003500044),40.74599400350005,-73.82923877599995,63.1%,49%
"MULTILINESTRING ((-73.90144104999996 40.703695923000055, -73.90016749699998 40.704063433000044))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Patrolman Robert J. Rogerson Way,68th Avenue,Male,"Robert Rogerson served with the NYPD for nearly 29 years and was assigned to the License Division. On June 24, 1974, he was struck by a taxicab that went out of control during an inspection, dragging him for 20 feet and pinning him against a utility pole",Between Forest Avenue and 60th Street,11385,Holden,,"MULTILINESTRING ((-73.90144104999996 40.703695923000055, -73.90016749699998 40.704063433000044))",POINT (-73.90080427349997 40.70387967800005),40.70387967800005,-73.90080427349997,63.1%,49%
"MULTILINESTRING ((-73.86353990699996 40.753452038000034, -73.86250457399996 40.75145267600004))",Int. No. 368-A,07/11/2006,2006,2006/023,Street,Queens,Sgt. Jose Gomez Place,104th Street,Male,"Sgt. Jose Gomez is a local hero. He gave his life for his country in Iraq on April 27, 2006, in a roadside bombing in Iraq. He was three months into his second tour of duty in Iraq with the 10th Calvary, 4th Brigade, 4th Infantry Division. According to M",Between 37th and 38th Avenues,11368,Monserrate,,"MULTILINESTRING ((-73.86353990699996 40.753452038000034, -73.86250457399996 40.75145267600004))",POINT (-73.86302224049996 40.75245235700004),40.75245235700004,-73.86302224049996,63.1%,49%
"MULTILINESTRING ((-73.95048430799994 40.670158714000024, -73.94971719699998 40.678279486000065))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,James E. Davis Avenue,Nostrand Avenue,Male,"New York City Councilman James E. Davis dedicated his life to stopping violence in urban America, particularly violence in urban communities in New York City. Councilman James E. Davis was born in 1962, graduated from Samuel Tilden High School in 1980 an",between Atlantic Avenue and Eastern Parkway,11216,James,,"MULTILINESTRING ((-73.95048430799994 40.670158714000024, -73.94971719699998 40.678279486000065))",POINT (-73.95010075249996 40.674219100000045),40.674219100000045,-73.95010075249996,66.3%,48%
"MULTILINESTRING ((-74.07549376099996 40.61225534000005, -74.07437319399997 40.612782475000074))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Staten Island,James Russo Place,Amity Street,Male,"James Russo was born in Rosebank, Staten Island on September 18, 1915, to Vito and Theresa Russo.  He lived in that community all of his life.  In 1937, Mr.  Russo's father, and 46 other members of the Our Lady of Mount Carmel Society, built a shrine hon",Between White Plains Avenue and Fletcher Street,10305,McMahon,,"MULTILINESTRING ((-74.07549376099996 40.61225534000005, -74.07437319399997 40.612782475000074))",POINT (-74.07493347749997 40.61251890750006),40.61251890750006,-74.07493347749997,67.5%,49%
"MULTILINESTRING ((-73.84381862999999 40.856092782000076, -73.84069653899996 40.85562212200006))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Bronx,Police Officer Patrick McGovern Way,Rhinelander Avenue,Male,Patrick McGovern was a police officer for over 19 years serving with the 49th Precinct and Bronx Zoo detail. He was a responder on 9/11 and worked on the rescue and recovery efforts at Ground Zero for three months. He died as a result of 9/11 related ill,Between Eastchester Road and Stillwell Avenue,10461,Gjonaj,,"MULTILINESTRING ((-73.84381862999999 40.856092782000076, -73.84069653899996 40.85562212200006))",POINT (-73.84225758449998 40.85585745200006),40.85585745200006,-73.84225758449998,64.7%,47%
"MULTILINESTRING ((-73.83740718699994 40.87310658400003, -73.83660252399994 40.87146880800003))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Sergeant Keith A. Ferguson Way,Ely Avenue,Male,Keith A. Ferguson served with the New York City Police Department for 17 years.  He was on patrol in lower Manhattan as part of the NYPD anti-terrorism unit when he heard a foot patrol officer calling for assistance. The officer was chasing a suspect who,Between Hammersley Avenue and Adee Avenue,10469,King,,"MULTILINESTRING ((-73.83740718699994 40.87310658400003, -73.83660252399994 40.87146880800003))",POINT (-73.83700485549994 40.87228769600003),40.87228769600003,-73.83700485549994,64.7%,47%
"MULTILINESTRING ((-73.97183695499996 40.69307935000006, -73.97159019199995 40.69177371100005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Reverend Dr. John L. Pratt Sr. Way,Clermount Avenue,Male,"John Pratt pastored church for 30 years and was very involved in community efforts.  He was pastor of the Zion Shiloh Baptist Church, recording secretary for the Progressive National Baptist Convention, moderator of the New York Missionary Association, i",Between Myrtle Avenue and Willoughby Avenue,11205,Cumbo,,"MULTILINESTRING ((-73.97183695499996 40.69307935000006, -73.97159019199995 40.69177371100005))",POINT (-73.97171357349995 40.69242653050006),40.69242653050006,-73.97171357349995,66.3%,48%
"MULTILINESTRING ((-73.92649219999998 40.864597795000066, -73.92450200099995 40.86532803000006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Thomas C. Brick Way,Vermilyea Avenue,Male,"Thomas C. Brick was born in Flushing, New York and attended St. Kevin’s Grammar School where he served as an altar boy in the church. He later attended Holy Cross High School and Nassau Community College in Garden City. As an adult, Thomas volunteered",between Dyckman Street and Academy Street,10034,Martinez,,"MULTILINESTRING ((-73.92649219999998 40.864597795000066, -73.92450200099995 40.86532803000006))",POINT (-73.92549710049997 40.86496291250006),40.86496291250006,-73.92549710049997,53.4%,48%
"MULTILINESTRING ((-73.96021318299995 40.68504163400007, -73.95980548799997 40.68303614800004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Dr. Solly Walker Way,Irving Place,Male,"Solly Walker was the first African-American basketball player for St. John’s University who played from 1951-1954.  In 1993, he was inducted into the St. John’s Athletic Hall of Fame and was also presented the Trustees Award by the NYC Basketball Hal",Between Putnam Avenue and Gates Avenue,11238,Cumbo,,"MULTILINESTRING ((-73.96021318299995 40.68504163400007, -73.95980548799997 40.68303614800004))",POINT (-73.96000933549996 40.68403889100006),40.68403889100006,-73.96000933549996,66.3%,48%
"MULTILINESTRING ((-73.95493509199997 40.81011459300004, -73.95455529099996 40.81063592300006))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Manhattan,Reverend Walter L. Harding Place,Morningside Avenue,Male,"Reverend Dr. Walter L. Harding served as pastor of the St. Like Baptist Church from February 1938 through October 1991 for a period of 53 years. Reverend Harding’s selfless dedication and contributions have been recognized by many, including Presidents",Between West 123rd and West 124th Streets,10027,Perkins,,"MULTILINESTRING ((-73.95493509199997 40.81011459300004, -73.95455529099996 40.81063592300006))",POINT (-73.95474519149997 40.81037525800005),40.81037525800005,-73.95474519149997,53.4%,48%
"MULTILINESTRING ((-73.94448068599996 40.80318350500005, -73.94311275999996 40.80262516400006))",Int. No. 388,07/09/2014,2014,2014/034,Street,Manhattan,Bishop Dr. Ezra Nehemiah Williams Way,East 120th Street,Male,Bishop Dr. Ezra Nehemiah Williams was born and raised in Harlem and was a graduate of the Manhattan Bible Institute of New York City.  He received an Honorary Doctorate from Alliance Theological Seminary and served as a former National President and Pres,Between 5th Avenue and Madison Avenue,10027,Dickens,,"MULTILINESTRING ((-73.94448068599996 40.80318350500005, -73.94311275999996 40.80262516400006))",POINT (-73.94379672299996 40.802904334500056),40.802904334500056,-73.94379672299996,53.4%,48%
"MULTILINESTRING ((-73.94468352799998 40.705694151000046, -73.94457892199995 40.70508009100007))",Int. No. 1045-A,07/01/2013,2013,2013/050,Street,Brooklyn,Pomus Place,Manhattan Avenue,Male,"Jerome Solon Felder, better known as Doc Pomus, was an American blues singer and songwriter.  He was born in Brooklyn and was a fan of the blues.  As a child, he had polio and used crutches to walk.  He began performing as a teenager, becoming a blues si",Between McKibbin Street and Boerum Street,11206,Reyna,,"MULTILINESTRING ((-73.94468352799998 40.705694151000046, -73.94457892199995 40.70508009100007))",POINT (-73.94463122499997 40.70538712100006),40.70538712100006,-73.94463122499997,66.3%,48%
"MULTILINESTRING ((-73.85024361999996 40.68296180300007, -73.84984665299999 40.682135996000056))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Queens,Chief Ronald Spadafora Way,90th Street,Male,Ronald Spadafora was a 40-year veteran of the FDNY who supervised rescue and recovery efforts at Ground Zero and was the chief of safety for the entire 9/11 recovery operation.  He died of 9/11 related illnesses.,Between Rockaway Boulevard and 101st Avenue,11416,Ulrich,,"MULTILINESTRING ((-73.85024361999996 40.68296180300007, -73.84984665299999 40.682135996000056))",POINT (-73.85004513649997 40.68254889950006),40.68254889950006,-73.85004513649997,63.1%,49%
"MULTILINESTRING ((-74.00736147299995 40.60261236400004, -74.00525862099994 40.60149638300004))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Brooklyn,Victor V. Allegretti Way,Cropsey Avenue,Male,"Mr. Allegretti served on Community Board 11 in Brooklyn for many years and made outstanding contributions to the quality of life to the residents of the community.  He was the President of Bayside Fuel Oil Corp., one of the largest independent fuel oil c",between 18th Avenue and 19th Avenue,11214,Oddo,,"MULTILINESTRING ((-74.00736147299995 40.60261236400004, -74.00525862099994 40.60149638300004))",POINT (-74.00631004699994 40.60205437350004),40.60205437350004,-74.00631004699994,66.3%,48%
"MULTILINESTRING ((-73.93955162399999 40.838704482000026, -73.93846264799998 40.83806121200007))",Int. No. 988,07/29/2018,2018,2018/139,Street,Manhattan,Luís Días Way,165th Street,Male,"Luís Días was a Dominican folk and rock guitarist, singer and composer.  He was an influential musician in both the traditional and contemporary music area. He began as guitarist and singer for the band Convite but went on to become the most important",Between Audubon Avenue and Amsterdam Avenue,10032,Rodriguez,,"MULTILINESTRING ((-73.93955162399999 40.838704482000026, -73.93846264799998 40.83806121200007))",POINT (-73.93900713599999 40.83838284700005),40.83838284700005,-73.93900713599999,53.4%,48%
"MULTILINESTRING ((-73.95628987399994 40.705406563000054, -73.95576416099993 40.70491653400006))",Int. No. 289-A,05/23/2006,2006,2006/013,Street,Brooklyn,Rev. Bryan J. Karvelis Way,Marcy Avenue,Male,Rev. Bryan J. Karvelis led the Parish of the Transfiguration and was a consummate pillar of the community who dedicated his life improving the neighborhood in a variety of ways. From his work in founding the Southside Mission to his help in opening Casa,Between Hewes and Hooper Streets,11211,Reyna,,"MULTILINESTRING ((-73.95628987399994 40.705406563000054, -73.95576416099993 40.70491653400006))",POINT (-73.95602701749993 40.70516154850006),40.70516154850006,-73.95602701749993,66.3%,48%
"MULTILINESTRING ((-73.98191711599998 40.74323262100006, -73.98054382499998 40.742647358000056))",Int. No. 849,08/10/2015,2015,2015/076,Street,Manhattan,Rabbi Sidney Kleiman Way,East 29th Street,Male,Rabbi Sidney Kleiman was the longest serving and oldest active congregational Rabbi in the United States before he died at the age of 100.  He led the antebellum Adereth El from 1939 until 1999.,Between Lexington Avenue and Third Avenue,11216,Mendez,,"MULTILINESTRING ((-73.98191711599998 40.74323262100006, -73.98054382499998 40.742647358000056))",POINT (-73.98123047049998 40.74293998950006),40.74293998950006,-73.98123047049998,53.4%,48%
"MULTILINESTRING ((-73.95243804599994 40.80231414800005, -73.95035665199998 40.801432971000054))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,"Bishop Preston R. Washington, Sr. Street",West 115th Street,Male,"Bishop Preston R. Washington Sr. was raised in East Harlem in the New York City public school system. He graduated summa cum laude from Williams College in Williamstown, Mass., received his masters of divinity degree from Union Theological Seminary and h",between St. Nicholas Avenue and Lenox Avenue,10026,Perkins,,"MULTILINESTRING ((-73.95243804599994 40.80231414800005, -73.95035665199998 40.801432971000054))",POINT (-73.95139734899996 40.80187355950005),40.80187355950005,-73.95139734899996,53.4%,48%
"MULTILINESTRING ((-73.92251599299993 40.66843016200005, -73.91996252999996 40.66949619900004))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Brooklyn,Bishop Landon E. Penn Way,Eastern Parkway,Male,Bishop Landon E. Penn founded the Universal Temple Church of God in Crown Heights in 1969.  He served as a liaison between the Crown Heights community and the NYPD and founded public housing and drug prevention programs and provided food and clothing for,Between Ralph Avenue and Howard Avenue,11233,Ampry-Samuel,,"MULTILINESTRING ((-73.92251599299993 40.66843016200005, -73.91996252999996 40.66949619900004))",POINT (-73.92123926149995 40.66896318050004),40.66896318050004,-73.92123926149995,66.3%,48%
