Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes,geometry,centroid,latitude,longitude,pct_female_named_streets,pct_female_pop
"MULTILINESTRING ((-73.85694034099998 40.89418771100003, -73.85730780399996 40.893510511000045))",Int. No. 2187,01/17/2021,2021,2021/014,Street,Bronx,Bishop Michel White Way,White Plains Road,Female,Bishop Michel White was the founder and pastor of the Cathedral at Greater Faith and served the Bronx community for over 30 years.  Her contributions were numerous as she worked tirelessly to support less fortunate members in the community by hosting an,Between 233rd Street and 234th Street,10466,Cohen,,"MULTILINESTRING ((-73.85694034099998 40.89418771100003, -73.85730780399996 40.893510511000045))",POINT (-73.85712407249997 40.89384911100004),40.89384911100004,-73.85712407249997,25.5%,53%
"MULTILINESTRING ((-73.96836083799997 40.79152026700007, -73.96574434299998 40.79041455400005))",Int. No. 825,10/10/2008,2008,2008/048,Street,Manhattan,Doris Rosenblum Way,South side of West 94th Street,Female,"Doris Rosenblum was an original member of the Mitchell Lama Residents’ Council, and for six years, served as co-chair.  She served as President of the Stryckers Bay Neighborhood Council, an organizations that supports affordable housing.  Ms. Rosenblum",Between Columbus Avenue and Central Park West,10025,Brewer,,"MULTILINESTRING ((-73.96836083799997 40.79152026700007, -73.96574434299998 40.79041455400005))",POINT (-73.96705259049997 40.79096741050006),40.79096741050006,-73.96705259049997,26.5%,52%
"MULTILINESTRING ((-73.89503463699998 40.66468080300007, -73.89515086599994 40.665137446000074, -73.89524172399996 40.66549440700004, -73.89532781299994 40.66583263100006, -73.89542487999995 40.666213982000045, -73.89546515599994 40.66637221500008, -73.89547860999994 40.666425074000074, -73.89548825399999 40.66646296400006, -73.89558803199998 40.66685496000008, -73.89578363999993 40.667623441000046, -73.89590558599997 40.66810252500005, -73.89603261299999 40.66860156400003, -73.89618534199997 40.66920157100003, -73.89629886099993 40.669647535000024, -73.89642328399998 40.67013633500005, -73.89653154299998 40.67056162800003, -73.89663949199996 40.67095823300008, -73.89682126099996 40.67167230100006, -73.89701864999995 40.67244772300006, -73.89715903399997 40.67299920000005, -73.89721871699999 40.67321846600004, -73.89744988899997 40.67412658000006, -73.89757110999994 40.674602769000046, -73.89766778299997 40.67498252200005, -73.89781708599998 40.675569015000065, -73.89793317999994 40.67602505200006, -73.89812446699995 40.67677645400005, -73.89820683699998 40.67707905100008))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Brooklyn,Mary Warren Place,Sheffield Avenue,Female,"Ms. Warren began her long career in community service with the New York City Housing Authority.  In her thirteen years there, she worked as a Community Associate, Community Liaison, and Community Service Aide.  During this time, Ms. Warren aided the East",between Fulton Street and Livonia Avenue,11207,Barron,,"MULTILINESTRING ((-73.89503463699998 40.66468080300007, -73.89515086599994 40.665137446000074, -73.89524172399996 40.66549440700004, -73.89532781299994 40.66583263100006, -73.89542487999995 40.666213982000045, -73.89546515599994 40.66637221500008, -73.89547860999994 40.666425074000074, -73.89548825399999 40.66646296400006, -73.89558803199998 40.66685496000008, -73.89578363999993 40.667623441000046, -73.89590558599997 40.66810252500005, -73.89603261299999 40.66860156400003, -73.89618534199997 40.66920157100003, -73.89629886099993 40.669647535000024, -73.89642328399998 40.67013633500005, -73.89653154299998 40.67056162800003, -73.89663949199996 40.67095823300008, -73.89682126099996 40.67167230100006, -73.89701864999995 40.67244772300006, -73.89715903399997 40.67299920000005, -73.89721871699999 40.67321846600004, -73.89744988899997 40.67412658000006, -73.89757110999994 40.674602769000046, -73.89766778299997 40.67498252200005, -73.89781708599998 40.675569015000065, -73.89793317999994 40.67602505200006, -73.89812446699995 40.67677645400005, -73.89820683699998 40.67707905100008))",POINT (-73.89661766492124 40.670880735694034),40.670880735694034,-73.89661766492124,22.1%,52%
"MULTILINESTRING ((-73.99597767499995 40.69908410600004, -73.99571615899998 40.69961484800007))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Emily Warren Roebling Way,Columbia Heights,Female,"Emily Warren Roebling married Washington Roebling on January 18, 1865.  Her father-in-law, John A. Roebling was undertaking the construction of the Brooklyn Bridge, but died in an unexpected accident.  Emily’s husband took over the role of Chief Engine",Between Pineapple Street and Orange Street,11201,Levin,good example,"MULTILINESTRING ((-73.99597767499995 40.69908410600004, -73.99571615899998 40.69961484800007))",POINT (-73.99584691699997 40.699349477000055),40.699349477000055,-73.99584691699997,22.1%,52%
"MULTILINESTRING ((-73.90649658299998 40.81469104700005, -73.90576433999996 40.81454894900003))",Int. No. 935,10/02/2012,2012,2012/048,Street,Bronx,Doris S. Torres Way,East 147th Street,Female,"On September 11, 2001, Doris S. Torres was working at Fiduciary Trust International on the 97th floor of the South Tower at the World Trade Center (WTC).  During the devastating attacks on the WTC, Ms. Torres helped an emotional colleague down a few flig",Between Wales Avenue and Tinton Avenue,10455,Arroyo,,"MULTILINESTRING ((-73.90649658299998 40.81469104700005, -73.90576433999996 40.81454894900003))",POINT (-73.90613046149997 40.81461999800004),40.81461999800004,-73.90613046149997,25.5%,53%
"MULTILINESTRING ((-73.94044488399999 40.78891092500004, -73.93823541399996 40.787981847000026))",Int. No. 556-A,06/14/2007,2007,2007/028,Street,Manhattan,Bernice Singletary Square,,Female,"Bernice Singletary migrated with her husband to New York in 1958 and worked with Marionat Bridal Veils, Inc. as a seamstress and later at the Board of Education as a Paraprofessional from 1968 until her retirement in June 1995.  She also served as the Wo",East 105th Street between First Avenue and the Service Road of the Franklin D. Roosevelt Drive,10029,Mark-Viverito,,"MULTILINESTRING ((-73.94044488399999 40.78891092500004, -73.93823541399996 40.787981847000026))",POINT (-73.93934014899997 40.78844638600003),40.78844638600003,-73.93934014899997,26.5%,52%
"MULTILINESTRING ((-73.94782053999995 40.66874387100006, -73.94788848899998 40.66800333500004))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,The English Way,New York Avenue,Female,"Dr. Josephine English moved to Brooklyn in 1956 after graduating from medical school and working in Manhattan. She opened a women’s clinic in Bushwick and delivered thousands of babies, including the daughter of former United States Secretary of Commer",Between President Street and Union Street,11213,Hudson,,"MULTILINESTRING ((-73.94782053999995 40.66874387100006, -73.94788848899998 40.66800333500004))",POINT (-73.94785451449997 40.66837360300005),40.66837360300005,-73.94785451449997,22.1%,52%
"MULTILINESTRING ((-73.73749021199995 40.698285535000025, -73.73665604499996 40.699889969000026))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Betty Davis Street,221st Street,Female,"Betty Myrl Victoria Davis was the youngest of eleven siblings, six girls and five boys, born to George and Irene Davis on August 2, 1938. She grew up in her birthplace of Mavis Bank, Kingston, Jamaica never knowing her father who died when she was only t",Between 115th Road and 115th Avenue,11411,Comrie,,"MULTILINESTRING ((-73.73749021199995 40.698285535000025, -73.73665604499996 40.699889969000026))",POINT (-73.73707312849996 40.699087752000025),40.699087752000025,-73.73707312849996,17.6%,51%
"MULTILINESTRING ((-73.77699922599999 40.68630265300004, -73.77503227299997 40.686967054000036))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Ethel L. Cuff Black Way,Foch Boulevard,Female,"Ethel L. Cuff Black was an educator and one of the founders of Delta Sigma Theta sorority, which now has 600 chapters and 95,000 members worldwide. She became the first African-American school teacher in Richmond Hills where she taught for over 27 years.",Between Merrick Boulevard and 170th Street,11434,Williams,,"MULTILINESTRING ((-73.77699922599999 40.68630265300004, -73.77503227299997 40.686967054000036))",POINT (-73.77601574949998 40.68663485350004),40.68663485350004,-73.77601574949998,17.6%,51%
"MULTILINESTRING ((-73.90557436499995 40.82905260800004, -73.90597133099999 40.828455923000035, -73.90628246799997 40.828198170000064))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Bronx,Meg Charlop Way,Fulton Avenue,Female,"Meg Charlop moved to the Bronx in 1976 and worked as a community and housing organizer in the Morrisania section of the Borough.  For 26 years, she worked for the Montefiore Medical Center and became a city-wide and national leader in the fight against c",Between East 166th Street and East 167th Street,10456,Foster,,"MULTILINESTRING ((-73.90557436499995 40.82905260800004, -73.90597133099999 40.828455923000035, -73.90628246799997 40.828198170000064))",POINT (-73.90590048986303 40.828600245451845),40.828600245451845,-73.90590048986303,25.5%,53%
"MULTILINESTRING ((-73.96255460499998 40.67150316300007, -73.96191516599998 40.66827742900006, -73.96140786299998 40.66571815900005, -73.96100965299996 40.663449928000034, -73.96077361799996 40.66175061700005, -73.96067186599998 40.66101804200008))",Int. No. 746-A,12/29/2005,2005,2005/131,Street,Brooklyn,Mary Pinkett Avenue,Washington Avenue,Female,"Mary Pinkett was the first African- American woman elected to the New York City Council, and served her community by fighting passionately for the underrepresented and overlooked.",Between Eastern Parkway and Lincoln Road,11225,James and Clarke,,"MULTILINESTRING ((-73.96255460499998 40.67150316300007, -73.96191516599998 40.66827742900006, -73.96140786299998 40.66571815900005, -73.96100965299996 40.663449928000034, -73.96077361799996 40.66175061700005, -73.96067186599998 40.66101804200008))",POINT (-73.96155150051644 40.666271147682444),40.66627114768245,-73.96155150051644,22.1%,52%
"MULTILINESTRING ((-73.88705844699996 40.81670603300006, -73.88683582399995 40.81581083700007, -73.88688142099994 40.81571746000003))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Bronx,Mrs. Esther ‘Marie’ Davis Way,,Female,"Marie Davis was a parent, teacher and activist leader in the Hunts Point community for nearly four decades. Mrs. Davis moved to 750 Faile Street in 1977, and raised her eight children there. Soon after moving to the area, Mrs. Davis began working at P.S.",Faile Street between Lafayette Avenue and Hunts Point Avenue,10474,Salamanca,,"MULTILINESTRING ((-73.88705844699996 40.81670603300006, -73.88683582399995 40.81581083700007, -73.88688142099994 40.81571746000003))",POINT (-73.88693817404256 40.81620839119403),40.81620839119403,-73.88693817404256,25.5%,53%
"MULTILINESTRING ((-73.92876193599994 40.68199269200005, -73.92602608299995 40.68230999900004))",Int. No. 1300,01/20/2019,2019,2019/024,Street,Brooklyn,Fannie Pettie Watts Way,Decatur Street,Female,"Fannie Pettie was born in Perry, Georgia and attended public school in Savannah, Georgia. She continued her formal training at Georgia State College and later graduated from Howard University with a Bachelor of Arts degree in Education. She also achieved",Between Patchen Avenue and Malcom X Boulevard,11233,Cornegy Jr.,,"MULTILINESTRING ((-73.92876193599994 40.68199269200005, -73.92602608299995 40.68230999900004))",POINT (-73.92739400949995 40.682151345500046),40.682151345500046,-73.92739400949995,22.1%,52%
"MULTILINESTRING ((-73.90853296699999 40.83390489100003, -73.90590708399998 40.83304239800003, -73.90513757199994 40.83278964400006))",Int. No. 825,10/10/2008,2008,2008/048,Street,Bronx,Ms. Rachel E. Spivey Boulevard,East 169th Street,Female,"Rachel E. Spivey was the Executive Director of the Claremont Neighborhood Centers, Inc. for a number of years.  She received the 2002 New York State Woman of Distinction Award from State Senator Pedro Espada, Jr.  Ms. Spivey was also active with Bronx Co",Between Third Avenue and Webster Avenue,10456,Foster,,"MULTILINESTRING ((-73.90853296699999 40.83390489100003, -73.90590708399998 40.83304239800003, -73.90513757199994 40.83278964400006))",POINT (-73.90683526933763 40.83334726799427),40.83334726799427,-73.90683526933763,25.5%,53%
"MULTILINESTRING ((-73.90297257999998 40.851415891000045, -73.90392476399995 40.85160660200006))",Int. No. 877-A,12/29/2008,2008,2008/064,Street,Bronx,Reverend Jessie Woodhouse Place,Bush Street,Female,Pastor Woodhouse received many certificates and awards for her dedication and commitment to the church and her community. She is responsible for forming the First Bible Church of the Lord’s Mission and the Woodhouse Bible School for religious education,On the corner of the Grand Concourse between 179th Street and East Burnside Avenue,10457,Baez,,"MULTILINESTRING ((-73.90297257999998 40.851415891000045, -73.90392476399995 40.85160660200006))",POINT (-73.90344867199997 40.85151124650005),40.85151124650005,-73.90344867199997,25.5%,53%
"MULTILINESTRING ((-73.90236813999996 40.670930816000066, -73.91984541399995 40.66834712600007, -73.92188389199998 40.66851395000003))",Int. No. 931-A,04/20/2009,2009,2009/025,Street,Brooklyn,Mother Gloria A. Boyce Way,Pitkin Avenue,Female,"Gloria A. Boyce served the central Brooklyn area for over forty years.  She was a member of the Brownsville Community Council Board, the Community Progress Center, the Marcus Garvey Urban Renewal and founded the LaVaughn Moore Day Care Center, in East Ne",Between Eastern Parkway and Van Sinderen Avenue,11212,Mealy,,"MULTILINESTRING ((-73.90236813999996 40.670930816000066, -73.91984541399995 40.66834712600007, -73.92188389199998 40.66851395000003))",POINT (-73.91211921600289 40.66951358872409),40.66951358872409,-73.91211921600289,22.1%,52%
"MULTILINESTRING ((-73.86276827799998 40.73908707700008, -73.86081026599999 40.73955856500004))",Int. No. 457,12/05/2006,2006,2006/050,Street,Queens,Genesis Regalado Way,55th Avenue,Female,"Genesis Regalado was a student at IS 61 Queens on 50th Avenue in Corona, Queens and was a well-known and popular member of the local community. Tragically, she was shot and killed by a stray bullet fired from a moving car on 55th Avenue between 98th and",Between 98th and 99th Streets,11368,Sears,,"MULTILINESTRING ((-73.86276827799998 40.73908707700008, -73.86081026599999 40.73955856500004))",POINT (-73.86178927199998 40.73932282100006),40.73932282100006,-73.86178927199998,17.6%,51%
"MULTILINESTRING ((-73.89517137499996 40.669380079000064, -73.89251598799996 40.669791029000066, -73.89036217399996 40.67009211900006, -73.88782124199997 40.670485351000025, -73.88596335099999 40.67075736000004, -73.88354772999998 40.67111102400003, -73.88190678399997 40.67135126800008, -73.87932684599997 40.67172898600006, -73.87596796899999 40.67222074100005, -73.87455682099994 40.67239819400004, -73.86393080099998 40.673953864000055))",Int. No. 968,07/20/2024,2024,2024/081,Street,Brooklyn,Honorable Priscilla A. Wooten Way,Sutter Avenue,Female,"The Honorable Deaconess Priscilla A. Wooten assisted in the securing of the property now known as ""New Grace Center"" and availed herself in any capacity that fulfilled the programs of the church. Priscilla also held membership at the Greater Bright Light",Between Pennsylvania Avenue and Elderts Lane,11208,Banks,,"MULTILINESTRING ((-73.89517137499996 40.669380079000064, -73.89251598799996 40.669791029000066, -73.89036217399996 40.67009211900006, -73.88782124199997 40.670485351000025, -73.88596335099999 40.67075736000004, -73.88354772999998 40.67111102400003, -73.88190678399997 40.67135126800008, -73.87932684599997 40.67172898600006, -73.87596796899999 40.67222074100005, -73.87455682099994 40.67239819400004, -73.86393080099998 40.673953864000055))",POINT (-73.87955331479269 40.67168187467331),40.67168187467331,-73.87955331479269,22.1%,52%
"MULTILINESTRING ((-73.94538077299995 40.81269995500003, -73.94284730399994 40.81162587500006))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,Judge Sheila Abdus Salaam Way,West 131st Street,Female,"Judge Sheila Abdus Salaam was born in Washington, D.C. in 1952 and educated in its public schools. She graduated from Barnard College in 1974, and received her J.D. from Columbia Law School in 1977. Upon graduation, she began her legal career as a staff",Between Adam Clayton Powell Boulevard and Malcolm X Boulevard,10037,Perkins,,"MULTILINESTRING ((-73.94538077299995 40.81269995500003, -73.94284730399994 40.81162587500006))",POINT (-73.94411403849995 40.812162915000044),40.812162915000044,-73.94411403849995,26.5%,52%
"MULTILINESTRING ((-73.74594801699999 40.61093482900003, -73.74519699899997 40.60994930600003))",Int. No. 849,08/10/2015,2015,2015/076,Street,Queens,Mary’s Way,Virginia Street,Female,"Mary Trachtenberg devoted her time to the Sharaay Tefila Sisterhood in Far Rockaway, the Far Rockaway chapters of Hadassah and Bnei Brith, the PTA and the Gril Scouts.  She received the Hadassah Service Award for her dedication and service achievements.",Between Central Avenue and Brunswick Avenue,11691,Richards,,"MULTILINESTRING ((-73.74594801699999 40.61093482900003, -73.74519699899997 40.60994930600003))",POINT (-73.74557250799998 40.61044206750003),40.61044206750003,-73.74557250799998,17.6%,51%
"MULTILINESTRING ((-74.01037113699994 40.679422560000035, -74.00900023099996 40.67849741400005))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Brooklyn,Nancy Kearse Gooding Way,Visitation Place,Female,"Nancy Kearse Gooding ran and won Co-Leader of the 52nd Assembly District. She marched with Martin Luther King, Jr. in Washington DC advocating for the civil and economic rights of African Americans. In 1971, she established a non-profit called the Welfar",Between Richards Street and Van Brunt Street,11231,Avilés,,"MULTILINESTRING ((-74.01037113699994 40.679422560000035, -74.00900023099996 40.67849741400005))",POINT (-74.00968568399995 40.67895998700004),40.67895998700004,-74.00968568399995,22.1%,52%
"MULTILINESTRING ((-73.94780560999999 40.662550089000035, -73.94579931799996 40.66266809700005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Rebbetzin Chaya Mushka Schneerson Square,Lefferts Avenue,Female,"Rebbetzin Chaya Mushka Schneerson was the daughter of the sixth Rebbe of Chabad and was married to Rabbi Menachem Mendel Schneerson, leader of the Chabad movement.  Along with her husband, they led the global Chabad-Lubavitch movement, which would become",Between Brooklyn Avenue and New York Avenue,11225,Eugene,,"MULTILINESTRING ((-73.94780560999999 40.662550089000035, -73.94579931799996 40.66266809700005))",POINT (-73.94680246399997 40.66260909300004),40.66260909300004,-73.94680246399997,22.1%,52%
"MULTILINESTRING ((-73.84013182399997 40.900572778000026, -73.84188419999998 40.900176319000025, -73.84363061599998 40.89980388600003, -73.84595718499997 40.89929178700004, -73.84828222299996 40.89878002100005, -73.85005346199995 40.89839015000007, -73.85103874699996 40.89818002700008, -73.85257531999997 40.89784180500004, -73.85284748199996 40.89788011600007, -73.85418063899994 40.89842826900008, -73.85532703499996 40.89886378400007, -73.85840660899999 40.900063689000035, -73.86152194499994 40.90105933800004))",Int. No. 968,07/20/2024,2024,2024/081,Street,Bronx,Luciel Boles-Wilson Way,Nereid Avenue,Female,"Luciel Boles-Wilson (Ponder) was born in the Bronx and had a passion for mathematics and problem solving. After graduating from Theodore Roosevelt High School, she began working with Blue Cross Blue Shield, where she would spend the next 30 years working",Between Webster Avenue and Mundy Lane,10466,Riley and Dinowitz,,"MULTILINESTRING ((-73.84013182399997 40.900572778000026, -73.84188419999998 40.900176319000025, -73.84363061599998 40.89980388600003, -73.84595718499997 40.89929178700004, -73.84828222299996 40.89878002100005, -73.85005346199995 40.89839015000007, -73.85103874699996 40.89818002700008, -73.85257531999997 40.89784180500004, -73.85284748199996 40.89788011600007, -73.85418063899994 40.89842826900008, -73.85532703499996 40.89886378400007, -73.85840660899999 40.900063689000035, -73.86152194499994 40.90105933800004))",POINT (-73.850919250234 40.899326742822204),40.89932674282221,-73.850919250234,25.5%,53%
"MULTILINESTRING ((-73.93462583099995 40.68132268200003, -73.93189802499995 40.68162778800007))",Int. No. 1449-A,03/18/2017,2017,2017/045,Street,Brooklyn,Jacqueline Berrien Way,Decatur Street,Female,"Jacqueline Berrien was a civil rights lawyer who served as the chairperson of the Equal Employment Opportunity Commission (EEOC) under President Barack Obama.  Under her leadership, the EEOC promulgated rules against discrimination in employment and heal",Between Lewis Avenue and Stuyvesant Avenue,11233,Cornegy,,"MULTILINESTRING ((-73.93462583099995 40.68132268200003, -73.93189802499995 40.68162778800007))",POINT (-73.93326192799995 40.68147523500005),40.68147523500005,-73.93326192799995,22.1%,52%
"MULTILINESTRING ((-73.80203242099998 40.76783620500004, -73.80235696899996 40.76541879200005))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Queens,FERRIGNO PLACE,,Female,"Marjorie Ferrigno was an educator who founded the Fiorello LaGuardia High School of Music and Art and Performing Arts. She was President of the American Educational Theatre Association which represented all non professional theatre in the United States,",163rd Street between 33rd Avenue and 35th Avenue,11358,Vallone,,"MULTILINESTRING ((-73.80203242099998 40.76783620500004, -73.80235696899996 40.76541879200005))",POINT (-73.80219469499997 40.76662749850004),40.76662749850004,-73.80219469499997,17.6%,51%
