Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Membership,Biographical Information,Limits,Zip Code,Introduced by Council Member(s),Notes
"MULTILINESTRING ((-74.01786638699997 40.706150154000056, -74.01703639199997 40.705814660000044))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Manhattan,Edmond J. Safra Place,First Place,Male,"Edmond J.  Safra was born in Beirut, Lebanon, the third of the eight children of Esther and Jacob Safra.  Jacob Safra was the proprietor of Banque de Credit National, successor to the business of Safra Freres, a merchant banking business that originated",between West Street and the Museum of Jewish Heritage,10004,Gerson,
"MULTILINESTRING ((-73.93871105899996 40.639136706000045, -73.93847502399996 40.636954795000065))",Int. No. 620,02/05/2015,2015,2015/015,Street,Brooklyn,Pecola and Nicholas Rodriguez Way,East 40th Street,Male/Female,"Pecola Rodriguez (November 28, 1916 – July 26, 2014) worked as a staff nurse in Detroit and later moved to Brooklyn where she worked at Sydenham Hospital in Harlem from 1949 until 1958.  He also worked at Cumberland Hospital in Brooklyn as a Hospital A",Between Foster Avenue and Farragut Road,11203,Williams,
"MULTILINESTRING ((-73.99680949499998 40.68029991000003, -73.99522967399997 40.679858514000045))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Brooklyn,Salvatore “Buddy” Scotto Way,,Male,"Salvatore “Buddy” Scotto was a U.S. Army Korean War Veteran and was known as the unofficial “Mayor of Carroll Gardens”. He was the second generation owner and funeral director of Scotto Funeral Home in Carroll Gardens, which also served as a meet",At the South East Corner of 1st Place and Court Street from Court Street to Smith Street,11231,Koslowitz,
"MULTILINESTRING ((-73.86592617499997 40.759494578000044, -73.86505811499995 40.75958323200007))",Int. No. 990,12/26/2001,2001,2001/071,Street,Queens,Arthur Hayes Way,32nd Avenue,Male,"The following material was supplied by the Hayes family.  

Arthur Hayes was born on January 3, 1923, to Andrew and Lorena Hayes in Port Arthur, Texas. Mr. Hayes, along with his wife Lillian and his daughter Ann, was a long time resident of the East Elmh",between 103rd Street and 104th Street,11369,"Marshall, Koslowitz and Sabini; also, Council Members O’Donovan and Povman",
"MULTILINESTRING ((-73.94677370099998 40.805802106000044, -73.94533262299996 40.80519118500007))",Int. No. 2477,01/15/2022,2022,2022/054,Street,Manhattan,"Bishop James P. Roberts, Sr. Way",West 122nd Street,Male,"Bishop Roberts, Sr. immigrated to the United States and settled in Harlem, New York, where he worked as an elevator operator in a commercial building. He became a member of the Holy Cross Cathedral Orthodox Church and at night pursued a degree in theolog",Between Malcolm X Boulevard and Mount Morris Park West,10027,Perkins,
"MULTILINESTRING ((-73.76719236999998 40.66628148800004, -73.76021057999998 40.66457044900005))",Int. No. 1033,07/17/2009,2009,2009/046,Street,Queens,PFC Le Ron A. Wilson Way,145th Avenue,Male,"Le Ron A. Wilson became a resident of Springfield Gardens when he immigrated to the United States at the age of eleven.  After graduating Thomas Edison High School, he enlisted in the United States Army and was assigned to Fort Stewart, Georgia.  He was",Between Farmers Boulevard and Arthur Street,11413,"Sanders, Jr.",
"MULTILINESTRING ((-73.94203586499998 40.74521647500006, -73.94277615499993 40.74630160400005))",Int. No. 235,08/10/2015,2015,2015/071,Street,Queens,Court Square East,Court Square,Misc,"Int. No. 235 permanently changes the name of Court Square between Thomson Avenue and the Sunnyside Rail Yards to Court Square East and Court Square between Jackson Avenue and the Sunnyside Rail Yards to Court Square West in the borough of Queens, and ame",Between Thomson Avenue and the Sunnyside Rail Yards,11101,Van Bramer,
"MULTILINESTRING ((-73.95303907799996 40.80843824900006, -73.95250995199996 40.808224159000076, -73.95285128799998 40.80774084900003, -73.95277085699996 40.80667383100007, -73.95356921199993 40.80699686100007, -73.95298628399996 40.80773787100003, -73.95303907799996 40.80843824900006))",Int. No. 22,07/29/2002,2002,2002/019,Street,Manhattan,Harriet Tubman Square,,Female,"The following biography was provided by “Spectrum: Home and School Magazine.” 

Harriet Tubman was born Harriet Ross in Dorchester County, Maryland in 1820. Her parents were from the Ashanti tribe of West Africa, and they worked as slaves on the Brod","the portions of Frederick Douglass Boulevard and St. Nicholas Avenue, extending from West 120th Street to West 122nd Street",10027,"Perkins, Lopez, Comrie, Davis, Foster, Koppell, Stewart, Weprin, Brewer and Barron also Council Members Baez, Gioia, Nelson, Vann, and Clarke",
"MULTILINESTRING ((-73.94301511099997 40.81589794900003, -73.94055284299998 40.81487485500003))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Manhattan,Madam C.J. & A’Lelia Walker Place,136th Street,Female,"Madam C.J. Walker was an African-American businesswoman, hair care entrepreneur and philanthropist.  She developed and marketed a successful line of beauty and hair care products and founded the Madam C.J. Walker Manufacturing Company.  Her business succ",Between Adam Clayton Powell Jr. Boulevard and Lenox Avenue,10037,Dickens,
"MULTILINESTRING ((-74.07795377699995 40.63801663900006, -74.07785051199994 40.63756478700003, -74.07692112699993 40.635749204000035))",Int. No. 428-A,12/20/2010,2010,2011/003,Street,Staten Island,Bishop C. Asapansa-Johnson Way,Van Duzer Street,Male,Bishop C. Asapansa-Johnson was the pastor of Bethel Community Church and former president of the Interdenominational Ministers Meeting of Greater New York.  He was former pastor of the Allen Memorial Church (African Methodist Episcopal) in Brooklyn.  He,Between Hannah Street and Victory Boulevard,10301,Rose,
"MULTILINESTRING ((-73.74323290499996 40.65399802200005, -73.74107700499997 40.65399802200005))",Int. No. 897,03/19/2023,2023,2023/044,Street,Queens,Wendell S. G. O’Brien Way,148th Road,Male,"Wendell Solomon Gabriel O’Brien was born in Port of Spain, Trinidad and Tobago, West Indies, where he spent his formative years. In 1999, he relocated his family, from Starrett City, Brooklyn to their new home in Rosedale. He was later greeted by the l",Between 241st Street and Edgewood Street,11422,Brooks-Powers,
"MULTILINESTRING ((-73.82732744999998 40.83061195300007, -73.82663305599993 40.83095696500004))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Bronx,Marge Jeffries Way,Barkley Avenue,Female,"Marguerite “Marge” Jeffries was born on January 21, 1934.  Marge Jeffries was a longtime community activist on in Bronx Community Board No.  10.  She served as a member of the Community Board for 13 years, being elected as the Chair of the Parks Comm",Between East Tremont Avenue and Revere Avenue,10465,Provenzano,
"MULTILINESTRING ((-73.99062498599994 40.68921177300007, -73.99028166399995 40.68970964600004))",Int. No. 613,05/09/2005,2005,2005/043,Street,Brooklyn,St. Vincent’s Way,Boerum Place,Group,"St. Vincent’s Services was founded in Brooklyn in 1869 as an orphanage.  In the years since its founding it has expanded its mission to become a multi-service agency that has locations in all five boroughs as well as Long Island, Westchester, Orange an",Between State Street and Atlantic Avenue,11201,Yassky,
"MULTILINESTRING ((-74.18948708499994 40.592408755000065, -74.19274865099999 40.59052513700004))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Staten Island,Independence Way,Victory Boulevard,Group,"This renames Victory Boulevard to celebrate the Travis Fourth of July Parade route, America’s oldest 4th of July Parade.",between Cannon Avenue and Glen Street,10314,Oddo,
"MULTILINESTRING ((-73.95338598499995 40.63832467300006, -73.95211998199994 40.63718486400006))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Brooklyn,Aracely Courtenay Way,Flatbush Avenue,Female,Aracely Courtenay served as the assistant pastor in Emmanuel Church of God. She spent eight years working in property management and coordinated housing for families with low incomes. She was in charge of the Talitha Cumi Women’s Ministry. She was hit,Between Foster Avenue and East 26th Street,11210,Louis,
"MULTILINESTRING ((-73.77744805799995 40.69303407800004, -73.77630066799998 40.69367129700004))",Int. No. 998,12/18/2001,2001,2001/068,Street,Queens,Milt Hinton Place,113th Avenue,Male,"The following biographical information was provided by the Hinton family and the New York Times. 

Milton “Milt” Hinton was born on June 23, 1910 in Vicksburg, Mississippi. Mr. Hintons’s parents separated when he was an infant and his mother moved",between Marne Place and 175th Street,11433,Spigner,
"MULTILINESTRING ((-73.77768768599998 40.75496829400004, -73.77722098199996 40.75445627900007))",Int. No. 457,12/05/2006,2006,2006/050,Street,Queens,PFC Alberto Colon Street,204th Street,Male,"PFC Alberto Colon was a United States Marine killed in action in Vietnam on February 20, 1968. At the time of his death he had just turned 19 years of age. Following his death he was awarded the Purple Heart for making the ultimate sacrifice for his coun",Between 46th Road and 47th Avenue,11361,Avella,
"MULTILINESTRING ((-73.91697371099997 40.654635633000055, -73.91683289499997 40.65448810600003))",Int. No. 761-A,03/07/2012,2012,2012/014,Street,Brooklyn,Lenny Kobren Circle,East 94th Street,Male,"Leonard Kobren spent his whole life in East Flatbush and was a community advocate for over 40 years.  He served as the treasurer of the East Church Avenue Merchants Association, Chairperson of the Commerce Committee and served as First Vice-Chairperson o",Between Linden Boulevard and Church Avenue,11212,Barron,
"MULTILINESTRING ((-73.96686770499997 40.69325440700004, -73.96659143799997 40.691863355000066))",Int. No. 1613,06/24/2017,2017,2017/110,Street,Brooklyn,Police Officer Christie Masone Way,Washington Avenue,Male,"Police Officer Christie Masone was assigned to the 79th Precinct.  He and his partner Officer Norman Cerullo were killed in the line of duty after stopping two suspicious men in front of 660 Willoughby Street, Brooklyn.  The suspect who was arrested was",Between Myrtle Avenue and Willoughby Avenue,11205,Cumbo,why not the other partner?
"MULTILINESTRING ((-73.89473916599997 40.70419754400007, -73.89398814699996 40.70438732300005))",Int. No. 1278,01/20/2024,2024,2024/041,Street,Queens,Patrolman Joseph W. Norden Way,Catalpa Avenue,Male,Joseph W. Norden served with the NYPD for five years and was assigned to the 104th Precinct. He was killed in the line of duty when he was shot by an emotionally disturbed suspect whom he and his partner were escorting from an apartment.,Between 62nd Street and 64th Street,11385,Holden,
"MULTILINESTRING ((-73.90850077999994 40.71747771200006, -73.90773366899998 40.717390296000076))",Int. No. 565,10/20/2003,2003,2003/062,Street,Queens,Corporal Robert Marcus Rodriguez Way,59th Drive,Male,"Corporal Robert Marcus Rodriguez was born on February 15, 1982 in Brooklyn, New York. Corporal Rodriguez lived on 59th Drive in Maspeth and attended John Adams High School in Queens and received his high school diploma from the New York Youth Challenge P",between 59th Street and 59th Place,11378,Katz,
"MULTILINESTRING ((-73.88470675699995 40.74453263700008, -73.88503935099999 40.744052244000045))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Queens,Luz Colon Place,Baxter Avenue,Female,"Luz. C. Colon was born in Mayaquez, Puerto Rico and raised East Harlem attended grammer school at JHS in the East Harlem community, receiving a Bachelor’s degree from John Jay College, majoring in deviant behavior with a minor in Sociology.  Luz worked",between Broadway and Layton Street,11373,Monserrate,
"MULTILINESTRING ((-73.90454359999995 40.641030251000075, -73.90281625699998 40.639528202000065))",Int. No. 825,10/10/2008,2008,2008/048,Street,Brooklyn,John F. Denton Way,East 92nd Street,Male,"John F. Denton was a long time resident of Canarsie and a historian of Canarsie.  His column, entitled “Little Old Canarsie”, ran in the “Canarsie Courier” for many years.  He devoted the majority of his life to recording and documenting the hist",Between Flatlands Avenue and Avenue J,11236,Fidler,
"MULTILINESTRING ((-73.91422574499995 40.75929681400004, -73.91382490299998 40.75867828200006))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Queens,Dolma Naadhun Way,Newtown Road,Female,"Newtown Rd and 45th St has always been identified as a dangerous intersection by neighbors and communities who live there.  However, no concrete action was taken to make the street safer as DOT identifies this location as low-crash history. Unfortunately",Between 45th Street and 44th Street,11103,Won,
"MULTILINESTRING ((-74.15311756099999 40.62569730700005, -74.15294053599996 40.62688820500006, -74.15282175699997 40.62768724800003, -74.15266159899994 40.62876464000004, -74.15251674699994 40.62983380500003, -74.15234881999999 40.630963422000036, -74.15212128699994 40.63249397100003, -74.15194472399997 40.63368163500007, -74.15178885599994 40.63463533200007, -74.15162133999996 40.63566028100007, -74.15148141699996 40.63651639500006, -74.15141376999998 40.63693028400007))",Int. No. 822,12/04/2001,2001,2001/060,Street,Staten Island,Kathy Kiernan Way,Simonson Avenue,Female,"The following biographical information was provided by Daytop Village, Inc. Staten Island Outreach, a drug-free therapeutic community facility on Staten Island. 

Kathy Kiernan was born on October 29, 1948.  Although she lived in Brooklyn, she called Sta",Between Forest Avenue and Richmond Terrace,10303,O’Donovan  and Abel,
"MULTILINESTRING ((-74.01223655499996 40.677932025000075, -74.01175912199994 40.67833885300007))",Int. No. 988,07/29/2018,2018,2018/139,Street,Brooklyn,Sue Amendola Way,Van Brunt Street,Female,"Sue Amendola was an active member of the Red Hook Community for over 70 years.  She held leadership positions in the Ladies Auxiliary of the VFW NY Post 5195, Visitation of the Blessed Virgin Mary Church and the Red Hook Civic Association.  She led effor",Between King Street and Sullivan Street,11231,Menchaca,
"MULTILINESTRING ((-73.97890309499996 40.74438875000004, -73.97699336199997 40.74358199300008))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Manhattan,Ms. Magazine Way,East 32nd Street,Group,"Ms. Magazine is an American liberal feminist magazine that is the first periodical to be created, owned and operated entirely by women.  The magazine was founded in 1971 and brought attention to Women’s Rights and domestic violence.",Between Third Avenue and Second Avenue at the southeast corner of East 32nd Street and Third Avenue,10016,Mendez,
"MULTILINESTRING ((-74.08975910699996 40.58899836100005, -74.08826700399999 40.58822284100006))",Int. No. 825,10/10/2008,2008,2008/048,Street,Staten Island,Rab Wilkinson Way,Deleware Avenue,Male,"Harry (“Rab”) Wilkinson was a lifelong Staten Islander who attended Port Richmond and Tottenville High Schools.  After serving with the United States Army, he established Rab’s Trophy World.  Later on, he became dedicated to contributing to the Sta",Between Hylan Boulevard and Laconia Avenue,10305,Oddo,
"MULTILINESTRING ((-73.82919049599997 40.74631236100004, -73.82928705599994 40.74567564600005))",Int. No. 480-A,08/14/2022,2022,2022/081,Street,Queens,Don Capalbi Way,136th Street,Male,"Don Capalbi was the former president of the Queensboro Hill Flushing Civic Association, and was known for his activism, including his successful campaign for traffic control near PS 163 and his condemnation of the 2015 Main Street redesign. He also worke",Between 57th Road and 58th Avenue,11355,Ung,
"MULTILINESTRING ((-73.90144104999996 40.703695923000055, -73.90016749699998 40.704063433000044))",Int. No. 968,07/20/2024,2024,2024/081,Street,Queens,Patrolman Robert J. Rogerson Way,68th Avenue,Male,"Robert Rogerson served with the NYPD for nearly 29 years and was assigned to the License Division. On June 24, 1974, he was struck by a taxicab that went out of control during an inspection, dragging him for 20 feet and pinning him against a utility pole",Between Forest Avenue and 60th Street,11385,Holden,
"MULTILINESTRING ((-73.80699742299998 40.690394609000066, -73.80636442199994 40.69093864000007, -73.80566570599996 40.69152842500006, -73.80528986699994 40.69184566800004, -73.80474343099996 40.69230690900008, -73.80445619399995 40.69255376700005, -73.80385952999995 40.69305299300004, -73.80347682499996 40.69338189500007, -73.80308054899996 40.693722458000025, -73.80277368199995 40.69399973900005, -73.80218221499996 40.69449448800003, -73.80129318299998 40.69527207300007, -73.80110780299998 40.69543138600005, -73.80093500599997 40.695575924000025, -73.80051696699996 40.69587431200006, -73.80015175799997 40.69615518400008, -73.79968581299994 40.69648776300005, -73.79903348199997 40.69698944600003, -73.79870560099994 40.69733057000008, -73.79839050899994 40.69762872200005, -73.79816896799997 40.69778684800008, -73.79772368599998 40.69811434500008, -73.79738974999998 40.698287195000034, -73.79704642799999 40.69845496100004, -73.79652473799996 40.698674581000034, -73.79588449799996 40.698944107000045, -73.79563179699994 40.69905048800007, -73.79549365699995 40.699108641000066, -73.79510987299994 40.69921142600003, -73.79466951399996 40.69932936300006, -73.79434410199997 40.69944527800004, -73.79387718799995 40.69964183600007, -73.79355508799995 40.69975657100008, -73.79331815699999 40.69988959500006, -73.79310648799998 40.70004526900004, -73.79290893399997 40.70018626900003, -73.79276365899995 40.700307777000035, -73.79260523899995 40.70044031200007, -73.79239054199996 40.70064345700007, -73.79228148299995 40.70077211800003, -73.79210736599998 40.70097753300007, -73.79206020099997 40.70108018600007, -73.79190463299994 40.70133334900004, -73.79166073699997 40.701587078000045, -73.79156434299995 40.70168735900006, -73.79136605699995 40.701789989000076, -73.79116904099999 40.70187292500003, -73.79088002899994 40.701956593000034, -73.79086751999995 40.70196361600006))",Int. No. 1011,12/02/2013,2013,2013/106,Street,Queens,Tuskegee Airmen Way,South Road,Group,"The Tuskegee Airmen were African American pilots who fought in World War II and were the first African American military aviators in the United States Armed Forces.  Formally, they formed the 332nd Fighter Group and the 477th Bombardment Group of the Uni",Between Merrick Boulevard and Remington Street,11433,"Wills, Chin, Comrie, Dickens, Eugene, James, Koppell, Lander, Mealy, Mendez, Nelson, Palma, Williams, Rodriguez, Mark-Viverito, Vacca and Halloran",
"MULTILINESTRING ((-73.86353990699996 40.753452038000034, -73.86250457399996 40.75145267600004))",Int. No. 368-A,07/11/2006,2006,2006/023,Street,Queens,Sgt. Jose Gomez Place,104th Street,Male,"Sgt. Jose Gomez is a local hero. He gave his life for his country in Iraq on April 27, 2006, in a roadside bombing in Iraq. He was three months into his second tour of duty in Iraq with the 10th Calvary, 4th Brigade, 4th Infantry Division. According to M",Between 37th and 38th Avenues,11368,Monserrate,
"MULTILINESTRING ((-73.95048430799994 40.670158714000024, -73.94971719699998 40.678279486000065))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Brooklyn,James E. Davis Avenue,Nostrand Avenue,Male,"New York City Councilman James E. Davis dedicated his life to stopping violence in urban America, particularly violence in urban communities in New York City. Councilman James E. Davis was born in 1962, graduated from Samuel Tilden High School in 1980 an",between Atlantic Avenue and Eastern Parkway,11216,James,
"MULTILINESTRING ((-73.82821036199994 40.69072638800003, -73.82669223199997 40.69114940800006))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Queens,Gurdwara Street,97th Avenue,Group,"Sikhism began more than 500 years ago. Since then Sikhs have believed in and practiced justice, freedom and equality for everyone no matter what their gender, race or religion. A gurdwara is a place of assembly and worship for Sikhs. People from all fait",Between Lefferts Boulevard and 117th Street,11419,Adams,
"MULTILINESTRING ((-74.00578949699997 40.72562588400007, -74.00607261899995 40.72380772900004))",Int. No. 1102-A,07/23/2023,2023,2023/110,Street,Manhattan,Hudson Square,Varick Street,Misc,This co-naming would honor what used to be known as Hudson Square on Varick Street between Watts Street and Spring Street in Manhattan,Between Watts Street and Spring Street,10013,Bottcher,
"MULTILINESTRING ((-74.07549376099996 40.61225534000005, -74.07437319399997 40.612782475000074))",Int. No. 342-A,02/18/2003,2003,2003/014,Street,Staten Island,James Russo Place,Amity Street,Male,"James Russo was born in Rosebank, Staten Island on September 18, 1915, to Vito and Theresa Russo.  He lived in that community all of his life.  In 1937, Mr.  Russo's father, and 46 other members of the Our Lady of Mount Carmel Society, built a shrine hon",Between White Plains Avenue and Fletcher Street,10305,McMahon,
"MULTILINESTRING ((-73.87354078399994 40.75680909400006, -73.86568727599996 40.75763803800004, -73.86467876599994 40.75769086300005, -73.85898175399996 40.757898097000066))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Queens,Helen Marshall Blvd,Northern Boulevard,Female,Helen Marshall founded and was the director of the Langston Hughes Library on Northern Boulevard in 1969.  She served in the State Assembly for eight years and then served on the City Council for 10 years.  She became the first African-America and the se,Between 94th Street and 111th Street,11368,Ferreras-Copeland,
"MULTILINESTRING ((-73.84381862999999 40.856092782000076, -73.84069653899996 40.85562212200006))",Int. No. 1825,01/19/2020,2020,2020/026,Street,Bronx,Police Officer Patrick McGovern Way,Rhinelander Avenue,Male,Patrick McGovern was a police officer for over 19 years serving with the 49th Precinct and Bronx Zoo detail. He was a responder on 9/11 and worked on the rescue and recovery efforts at Ground Zero for three months. He died as a result of 9/11 related ill,Between Eastchester Road and Stillwell Avenue,10461,Gjonaj,
"MULTILINESTRING ((-73.71107611499997 40.744758224000066, -73.71044847799999 40.74309187500006))",Int. No. 1103-A,12/28/2009,2009,2009/092,Street,Queens,Ghanwatti Boodram Way,260th Street,Female,"Ghanwatti Boodram was killed when a Con Ed explosion took place on 260th Street between 80th and 81st Avenues in Floral Park, Queens.  She was in her home when it exploded.  Thousands of people in New York, Canada, England and her native Guyana mourned h",Between 80th Avenue and 81st Avenue,11004,Weprin,
"MULTILINESTRING ((-73.83740718699994 40.87310658400003, -73.83660252399994 40.87146880800003))",Int. No. 388,07/09/2014,2014,2014/034,Street,Bronx,Sergeant Keith A. Ferguson Way,Ely Avenue,Male,Keith A. Ferguson served with the New York City Police Department for 17 years.  He was on patrol in lower Manhattan as part of the NYPD anti-terrorism unit when he heard a foot patrol officer calling for assistance. The officer was chasing a suspect who,Between Hammersley Avenue and Adee Avenue,10469,King,
"MULTILINESTRING ((-73.97183695499996 40.69307935000006, -73.97159019199995 40.69177371100005))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Reverend Dr. John L. Pratt Sr. Way,Clermount Avenue,Male,"John Pratt pastored church for 30 years and was very involved in community efforts.  He was pastor of the Zion Shiloh Baptist Church, recording secretary for the Progressive National Baptist Convention, moderator of the New York Missionary Association, i",Between Myrtle Avenue and Willoughby Avenue,11205,Cumbo,
"MULTILINESTRING ((-73.92649219999998 40.864597795000066, -73.92450200099995 40.86532803000006))",Int. No. 471-A,12/21/2004,2004,2004/063,Street,Manhattan,Thomas C. Brick Way,Vermilyea Avenue,Male,"Thomas C. Brick was born in Flushing, New York and attended St. Kevin’s Grammar School where he served as an altar boy in the church. He later attended Holy Cross High School and Nassau Community College in Garden City. As an adult, Thomas volunteered",between Dyckman Street and Academy Street,10034,Martinez,
"MULTILINESTRING ((-73.96021318299995 40.68504163400007, -73.95980548799997 40.68303614800004))",Int. No. 1744,12/01/2017,2017,2017/237,Street,Brooklyn,Dr. Solly Walker Way,Irving Place,Male,"Solly Walker was the first African-American basketball player for St. John’s University who played from 1951-1954.  In 1993, he was inducted into the St. John’s Athletic Hall of Fame and was also presented the Trustees Award by the NYC Basketball Hal",Between Putnam Avenue and Gates Avenue,11238,Cumbo,
"MULTILINESTRING ((-73.94311711799998 40.793402754000056, -73.94121274999998 40.79262299100003))",Int. No. 281-A,05/05/2004,2004,2004/008,Street,Manhattan,Stickball Hall of Fame Place,East 109th Street,Group,For the past seven decades the game of Stickball has been an important team sport throughout many cities in the United States but especially in New York City. Here poor and working class people in various neighborhoods have played the game and in the pro,between 2nd Avenue and 3rd Avenue,10029,Reed,
"MULTILINESTRING ((-73.89205783199998 40.87804046700006, -73.88975709299996 40.87702644400008))",Int. No. 620,02/05/2015,2015,2015/015,Street,Bronx,Bronx Science Boulevard,205th Street,Group,"This co-naming will commemorate the Bronx High School of Science, founded in 1938.  The school has consistently ranked as one of the top high schools in New York City.",Between Goulden Avenue and Paul Avenue,10468,Cohen,
